Title,Description,URL,Type,Lat,Long
Mall of America,"With 520 stores, 50 restaurants, and the nation's largest indoor theme park, Mall of America touts itself as ""one of the most visited tourist destinations in the world.""",http://www.mallofamerica.com/,Enclosed,44.8557,-93.2421
Eastwood Mall Complex,"Eastwood Mall opened in 1969. With some 3,200,000 square feet of leasable space, its current anchor stores are JCPenney, Macy's, Sears, Target, and Dillard's.",http://www.eastwoodmall.com/,Enclosed,41.2151,-80.7511
South Coast Plaza,"South Coast Plaza opened in 1967, and attracts some 24 million visitors per year. It bills itself as ""The Ultimate Shopping Resort.""",http://www.southcoastplaza.com/,Enclosed,33.6912,-117.8896
King of Prussia Mall,"King of Prussia Mall is owned by the Simon Property Group, and includes Nordstrom, Macy's Neiman Marcus, Bloomingdale's, Lord & Taylor stores.",http://www.simon.com/mall/king-of-prussia-mall,Enclosed,40.0882,-75.3928
Millcreek Mall,The Cafaro Company opened Millcreek Mall in 1975. The one-level mall was renovated in 2008.,http://www.millcreekmall.net/,Enclosed,42.0688,-80.0983
Celebrate Virginia,The Central Park shopping complex is the retail centerpiece of Celebrate Virginia near Fredericksburg. It was developed by the Silver Companies.,http://www.shopatcentralpark.com/,Open,38.3032,-77.5102
Del Amo Fashion Center,"The precursor to Del Amo opened in 1961. Anchor stores in this Simon-owned mall include JCPenney, Macy's, Sears, and Marshall's.",http://www.simon.com/mall/del-amo-fashion-center,Enclosed,33.8305,-118.3497
Woodfield Mall,"Woodfield Mall opened in 1971. Anchor stores include Nordstrom, Macy's Lord & Taylor, JCPenney, and Sears.",http://www.shopwoodfield.com/,Enclosed,42.0463,-88.0369
The Houston Galleria,"The Galleria's central, vaulted space was modeled on the Galleria Vittorio Emanuale II in Milan, Italy. It is ranked as the largest mall in Texas.",http://www.simon.com/mall/the-galleria,Enclosed,29.7396,-95.4639
Palisades Center,"This four-level mall's anchor stores include JCPenney, Lord & Taylor, Macy's, Old Navy, and Target.",http://www.palisadescenter.com/,Enclosed,41.0973,-73.9559
Roosevelt Field Mall,This mall stands on the site of the airfield from which Charles Lindbergh began his solo transatlantic flight. It hosts some 270 stores.,http://www.simon.com/mall/roosevelt-field,Enclosed,40.7378,-73.6128
